Node,BlFract,RNodes,DRNodes,PitchAxis,StrcTwst,BMassDen,FlpStff,EdgStff,,,Aerosense measurement sections are highlited in yellow,"3,6,10,14,20,24,28,32,35"
(-),(-),(m),(m),(-),(deg),(kg/m),(Nm^2),(Nm^2),,,RNodes corresponds to the radial position of the Aerosense measurement section,
1,0.014,2.354,1.708,0.25,13.308,774.318,18970000000,19060000000,,,,
2,0.042,4.062,1.708,0.259,13.308,773.949,16670000000,19600000000,,,,
3,0.069,5.771,1.708,0.28,13.308,608.816,10530000000,14530000000,,,,
4,0.097,7.479,1.708,0.301,13.308,449.337,6513000000,9382000000,,,,
5,0.125,9.188,1.708,0.322,13.308,409.352,5261000000,7489000000,,,,
6,0.153,10.896,1.708,0.343,13.308,423.248,4889000000,7040000000,,,,
7,0.181,12.604,1.708,0.364,13.193,436.676,4020000000,7262000000,,,,
8,0.208,14.312,1.708,0.375,12.447,408.766,3109000000,6569000000,,,,
9,0.236,16.021,1.708,0.375,11.404,367.703,2511000000,5017000000,,,,
10,0.264,17.729,1.708,0.375,10.784,362.146,2269000000,4804000000,,,,
11,0.292,19.438,1.708,0.375,10.306,355.717,2079000000,4542000000,,,,
12,0.319,21.146,1.708,0.375,9.827,347.677,1890000000,4315000000,,,,
13,0.347,22.854,1.708,0.375,9.348,340.14,1690000000,4101000000,,,,
14,0.375,24.563,1.708,0.375,8.862,332.913,1491000000,3890000000,,,,
15,0.403,26.271,1.708,0.375,8.362,322.363,1288000000,3664000000,,,,
16,0.431,27.979,1.708,0.375,7.847,306.993,1071000000,3404000000,,,,
17,0.458,29.688,1.708,0.375,7.325,300.197,877300000,3141000000,,,,
18,0.486,31.396,1.708,0.375,6.804,279.072,710900000,2796000000,,,,
19,0.514,33.104,1.708,0.375,6.298,267.85,578400000,2608000000,,,,
20,0.542,34.813,1.708,0.375,5.802,257.983,464700000,2432000000,,,,
21,0.569,36.521,1.708,0.375,5.31,243.608,370200000,2127000000,,,,
22,0.597,38.229,1.708,0.375,4.82,225.022,294500000,1764000000,,,,
23,0.625,39.938,1.708,0.375,4.334,206.792,231200000,1553000000,,,,
24,0.653,41.646,1.708,0.375,3.849,188.134,177600000,1330000000,,,,
25,0.681,43.354,1.708,0.375,3.419,175.17,134600000,1208000000,,,,
26,0.708,45.062,1.708,0.375,3.031,164.975,113200000,1072000000,,,,
27,0.736,46.771,1.708,0.375,2.683,152.753,98490000,901100000,,,,
28,0.764,48.479,1.708,0.375,2.352,141.42,85210000,763500000,,,,
29,0.792,50.187,1.708,0.375,2.022,129.763,72600000,663000000,,,,
30,0.819,51.896,1.708,0.375,1.692,111.261,59920000,512000000,,,,
31,0.847,53.604,1.708,0.375,1.361,103.682,50030000,457900000,,,,
32,0.875,55.312,1.708,0.375,1.029,96.069,41320000,406700000,,,,
33,0.903,57.021,1.708,0.375,0.7,83.38,33300000,338000000,,,,
34,0.931,58.729,1.708,0.375,0.399,71.738,26360000,280300000,,,,
35,0.958,60.437,1.708,0.375,0.198,56.747,14490000,128800000,,,,
36,0.986,62.146,1.708,0.375,0.066,44.028,4919000,66510000,,,,
